Brief,Category,Clients,Status,Lead,Level of effort,Start date,Shortlisted Agencies,Winning Agency,Pitch Feedback Form,Quality: How would you rate the quality of delivery against your brief?,Value: How would you rate the agency in terms of value for money?,Chemistry: How would you rate the quality of the team and service you received?,Overall: How likely would you be to recommend this agency to your network and colleagues?,Would you like to share any other project feedback to the agency?,Studiospace: How would you rate your overall experience of working with Studiospace?,Overall: How likely would be to recommend  Studiospace to your network and colleagues?,Would you like to share any feedback to Studiospace?,Client Feedback,End date,Region,Reason for matching
Digital Roadmap,Strategic Design,CFS,5. Archived,Robin Scarborough,Medium (5-10 hours),7/3/2022,Path Ventures,Path Ventures,,10,10,10,10,,10,10,,Natalie Gheller,,AUS,
Visualisation,Strategic Design,CFS,5. Archived,Robin Scarborough,Low (1-5 hours),14/3/2022,Sketch & Co,Sketch & Co,,9,10,10,9,,10,10,,Natalie Gheller ,,AUS,
Adobe website design & planning sprint,Software Development,CFS,5. Archived,Robin Scarborough,High (10+ hours),20/4/2022,VERSA AGENCY,VERSA AGENCY,,9,7,10,8,,10,10,,Natalie Gheller,,AUS,
DSM MVP Planning,Strategic Design,CFS,5. Archived,Robin Scarborough,Low (1-5 hours),22/8/2022,Path Ventures,Path Ventures,,,,,,,,,,,,AUS,
New Starts Academy,Spatial & Event Design,Gala Games,5. Archived,Gideon Hyde,Medium (5-10 hours),16/5/2022,S+Co,S+Co,,10,10,10,10,"Literally best experience working with agency. Response to brief was fast, spot on and the quality of delivery was exceptional. The relationships established quickly; delivering trust and respect. Highly recommend.",10,10,Thanks to Pete for leaning in to my request so quickly. And to Gideon for helping me shape the right brief and then identifying the best agencies to meet my brief. Thanks also for listening and helping get from the big idea to something amazing and realistic within our timescales. ,Gill McLaughlin,,UK,
VOX creative concepts ,Creative & Production,Gala Games,5. Archived,Peter Sayburn,Medium (5-10 hours),16/5/2022,"Studio Something,off brand.,Daughter Studio",Studio Something,,,,,,,,,,,,UK,
VOX social media account,Social & Content,Gala Games,5. Archived,Gideon Hyde,Medium (5-10 hours),6/6/2022,"Buddy Media,GH05T Ltd.,off brand.",GH05T Ltd.,,,,,,,,,,,,UK,
VOX Souls Website,UX/UI Design,Gala Games,5. Archived,Gideon Hyde,Medium (5-10 hours),6/6/2022,off brand.,off brand.,,,,,,,,,,,,UK,
Future app vision,Strategic Design,JLR,5. Archived,Peter Sayburn,High (10+ hours),18/4/2022,"Rip + Tear,Remesh","Rip + Tear,Remesh",,,,,,,,,,"Jack Lydon,Tom Bolton",17/8/2022,UK,
Strat Roadmap,Business Consultancy,Leaders Romans,5. Archived,Gideon Hyde,High (10+ hours),1/2/2022,,Studiospace,,,,,,,,,,,,UK,
CMS implementation and website redesign (Discover),Software Development,MA Financial Group,5. Archived,Robin Scarborough,High (10+ hours),26/9/2022,"PALO IT,IE",PALO IT,"Amelia Pridham,Amelia Pridham",10,10,10,10,"The team at Palo IT are fantastic. The communication has been regular and clear, leaving us feeling well-supported and in safe hands. Each fortnight the team delivered strong, data-driven presentations during each Playback session. These sessions have yielded positive feedback from key senior stakeholders within the business. ",10,10,Thank you Studiospace team! We really appreciate your expertise and guidance,Amelia Pridham,,AUS,
Data Visualisation,Strategic Design,Oxford Properties,5. Archived,Paul Bowman,High (10+ hours),24/10/2022,"NMD+,infogr8 Ltd",infogr8 Ltd,"Chantelle Cole,Chantelle Cole,Matt Stephen ,Matt Stephen ",,,,,,,,,,28/2/2023,UK,
Digital Health Solutions,Strategic Design,Silverchain,5. Archived,Robin Scarborough,High (10+ hours),29/8/2022,"Tobias,VERSA AGENCY",Tobias,"Katy Aish and Ben Laffy,Katy Aish and Ben Laffy",,,,,,,,,,,AUS,
Prop vision,Proposition Design,Snugg Energy,5. Archived,Phil Kohler,Low (1-5 hours),1/1/2022,Rufus Leonard,Rufus Leonard,,,,,,,,,,,,UK,
Cover Sense ph2 (JN),Proposition Design,TAL,5. Archived,Robin Scarborough,Medium (5-10 hours),1/1/2022,Path Ventures,Path Ventures,,,,,,,,,,,,AUS,
Cover Sense ph2 (UX),UX/UI Design,TAL,5. Archived,Robin Scarborough,Medium (5-10 hours),1/2/2022,,Studiospace,,,,,,,,,,,,AUS,
Cover sense ph2 (Quill Peak),Research & Insight,TAL,5. Archived,Robin Scarborough,Medium (5-10 hours),1/2/2022,Quill Peak Consulting,Quill Peak Consulting,,,,,,,,,,,,AUS,
Cover Sense ph3 (product),Strategic Design,TAL,5. Archived,Robin Scarborough,Medium (5-10 hours),2/5/2022,Path Ventures,Path Ventures,,10,10,10,10,"1- we worked very well together because Jaimes has been a good listener, hands on. He was pushing the boundaries to try to achieve as much as we could within the time constraints
2- he managed well the other companies involved in Phase 3
3- great knowledge and expertise in customer testing and prototyping that help the project to achieve great outcomes",10,10,"Thoughtful guidance, meticulous narrative for key stakeholders, being present and available when needed",Anna Terenziani and Anna Dalagan,,AUS,
Cover Sense ph3 (research),Research & Insight,TAL,5. Archived,Robin Scarborough,Medium (5-10 hours),2/5/2022,"Objective Experience,MyMavins",MyMavins,Pete,7,7,7,4,TAL and Studiospace had to do a lot of leg work to ensure the research would deliver desired outcome. MyMavis's approach seemed more passive than active and we (TAL and Studiospace) ended up doing a lot of strategic thinking.,,,,Anna Terenziani and Anna Dalagan,,AUS,
Cover Sense ph3 (UX),UX/UI Design,TAL,5. Archived,Robin Scarborough,Medium (5-10 hours),2/5/2022,Raw.Studio,Raw.Studio,,7,7,7,5,They worked on a prototype that was created by another company and that company seemed adding more value.,,,,Anna Terenziani and Anna Dalagan,,AUS,
Cover Sense ph3 (data science),Research & Insight,TAL,5. Archived,Robin Scarborough,Medium (5-10 hours),2/5/2022,Ellipsis,Ellipsis,,10,10,10,10,"very experienced, hands on, inputting considerations on things that were not strictly related to their remit, aiming high and very committed",,,,Anna Terenziani and Anna Dalagan,,AUS,
Cover Sense ph3 (CDR),Research & Insight,TAL,5. Archived,Robin Scarborough,Medium (5-10 hours),2/5/2022,Quill Peak Consulting,Quill Peak Consulting,,10,10,10,10,David is a pleasure to work with. He is not only very knowledgeable in his field but has the patience and expertise to explain complex issues with a very simple language. Appreciate his strategic thinking and support throughout.,,,,Anna Terenziani and Anna Dalagan,,AUS,
Cover Sense ph3 (marcomms),Creative & Production,TAL,5. Archived,Robin Scarborough,Medium (5-10 hours),2/5/2022,"Head & Heart Creative,Cocogun",Cocogun,,10,10,10,10,We did not worked directly with them but they understood the brief very well and came up with compelling materials. They went above and behind providing alternatives.,,,,Anna Terenziani and Anna Dalagan,,AUS,
Claims Intake Experience,Proposition Design,TAL,5. Archived,Robin Scarborough,Low (1-5 hours),28/7/2022,Path Ventures,Path Ventures,,,,,,,,,,,,AUS,
UX Prototyping,UX/UI Design,TAL,5. Archived,Robin Scarborough,Medium (5-10 hours),24/8/2022,"Raw.Studio,blueegg ,Helium",Raw.Studio,,,,,,,,,,,,AUS,
Bid support,Strategic Design,TAL,5. Archived,Robin Scarborough,Low (1-5 hours),12/9/2022,Path Ventures,Path Ventures,,,,,,,,,,,,AUS,
Healthscout UX Prototype (extension),UX/UI Design,TAL,5. Archived,Robin Scarborough,Low (1-5 hours),4/10/2022,Raw.Studio,Raw.Studio,,,,,,,,,,,,AUS,
Experience Design ,UX/UI Design,TfNSW,5. Archived,Robin Scarborough,High (10+ hours),17/10/2022,Sketch & Co,Sketch & Co,,,,,,,,,,,,AUS,
SME engagement ,Proposition Design,Wave,5. Archived,Paul Bowman,Low (1-5 hours),1/2/2022,NMD+,NMD+,,,,,,,,,,,,UK,
"Sizzle Reel
",Video,RKD,Opportunity Abandoned,David Cowser,,10/4/2023,,,,,,,,,,,,,,,
Rapid prototyping ,,7-Eleven,Opportunity Abandoned,Robin Scarborough,,,,,,,,,,,,,,,,AUS,
Customer tools for Workplace,,Aegon,Opportunity Abandoned,Gideon Hyde,,,,,,,,,,,,,,,,,
Strategic Plan,,Aggregate Ind,Opportunity Abandoned,Gideon Hyde,,9/5/2022,,,,,,,,,,,,,,UK,
,,APG / MyMotorHub,Opportunity Abandoned,Hannah Fraser,,,,,,,,,,,,,,,,UK,
,,AstraZeneca,Opportunity Abandoned,Robin Scarborough,,,,,,,,,,,,,,,,AUS,
Production portal,,Aviva,Opportunity Abandoned,Paul Bowman,,,,,,,,,,,,,,,,UK,
Innovation in the contact centre  ,CRM & Loyalty,Aviva,Opportunity Abandoned,Hannah Fraser,,,,,,,,,,,,,,,,UK,
,,Aviva,Opportunity Abandoned,Hannah Fraser,,,,,,,,,,,,,,,,UK,
Loyalty / lapse prevention,,Aviva,Opportunity Abandoned,Hannah Fraser,,,,,,,,,,,,,,,,UK,
Retirement Modelling Tool,Software Development,Aviva,Opportunity Abandoned,Phil Kohler,,,xDesign,,,,,,,,,,,,,UK,
Direct Life CRM Campaign,Social & Content,Aviva,Opportunity Abandoned,Paul Bowman,,12/9/2022,,,"Rachel Lovell (on behalf of Aviva team),Rachel Lovell (on behalf of Aviva team),Rachel Lovell (on behalf of Aviva team)",,,,,,,,,,,UK,
MOCO 2023 - Agency fee,Social & Content,Aviva,Opportunity Abandoned,Peter Sayburn,,3/1/2023,Buddy Media,,,,,,,,,,,,,,
MOCO 2023 - Media Budget ,Media Buying,Aviva,Opportunity Abandoned,Peter Sayburn,,3/1/2023,Buddy Media,,,,,,,,,,,,,,
Escape Room York,Spatial & Event Design,Aviva,Opportunity Abandoned,Paul Bowman,,20/3/2023,Innovate Live,,,,,,,,,,,,,,
Internal comms - Making it Click,PR & Communications,Aviva,Opportunity Abandoned,Peter Sayburn,,21/4/2023,,,,,,,,,,,,,,,
CX Training playbook,Brand Strategy,AXA,Opportunity Abandoned,Phil Kohler,,,,,,,,,,,,,,,,UK,
Video Content Series (follow on),Video,Biffa,Opportunity Abandoned,Hannah Fraser,,,,,,,,,,,,,,,,,
Sales Playbook,Proposition Design,Biffa,Opportunity Abandoned,Hannah Fraser,,24/10/2022,"Inc,Stride,Notepad Studio",,,,,,,,,,,,,UK,
Event Assets for Corporate event (March),Spatial & Event Design,Biffa,Opportunity Abandoned,Hannah Fraser,,23/1/2023,,,,,,,,,,,,,,,
Team Professional Photos,Photography,Biffa,Opportunity Abandoned,Hannah Fraser,,1/3/2023,,,,,,,,,,,,,,,
"Micro Instructional Video Content (Pilot)
",Video,Biffa,Opportunity Abandoned,Hannah Fraser,,3/4/2023,,,,,,,,,,,,,,,
Lighthouse Campaign Media Strategy + Buying,Media Buying,Biffa,Opportunity Abandoned,Hannah Fraser,,3/4/2023,,,,,,,,,,,,,,,
"Adobe website H2
",,CFS,Opportunity Abandoned,Robin Scarborough,,,,,,,,,,,,,,,,AUS,
"Martech arch review & op model
",,CFS,Opportunity Abandoned,Robin Scarborough,,,,,,,,,,,,,,,,AUS,
"Loyalty and Engagement CVP
",,CFS,Opportunity Abandoned,Robin Scarborough,,,,,,,,,,,,,,,,AUS,
US Shop Front + B2B Awareness Plan,Marketing Planning,D&G,Opportunity Abandoned,Hannah Fraser,,,,,,,,,,,,,,,,,
"Innovation support
",,Dulux,Opportunity Abandoned,Robin Scarborough,,,,,,,,,,,,,,,,AUS,
Strat / Design,,Endava,Opportunity Abandoned,Robin Scarborough,,,,,,,,,,,,,,,,AUS,
VOX Campaign,,Gala Games,Opportunity Abandoned,Peter Sayburn,,,,,,,,,,,,,,,,UK,
Metaverse Playbook,,Gala Games,Opportunity Abandoned,Gideon Hyde,,,,,,,,,,,,,,,,UK,
Social media - Influencer Marketing for Pride,Social & Content,HSBC,Opportunity Abandoned,Paul Bowman,,8/5/2023,,,,,,,,,,,,,,,
Social Media / TikTok Strategy  ,Social & Content,L&G,Opportunity Abandoned,Hannah Fraser,,,,,,,,,,,,,,,,,
"Lippincott 
Marketing Squads
",,Lippincot,Opportunity Abandoned,Paul Bowman,,,,,,,,,,,,,,,,UK,
Digital resource,,M&G,Opportunity Abandoned,Gideon Hyde,,,,,,,,,,,,,,,,UK,
James Hardie PDF to Microsite Build,UX/UI Design,News Corp (Aus),Opportunity Abandoned,Kate Walker,,1/2/2023,"Helium,VERSA AGENCY",,,,,,,,,,,,,AUS,
Concept dev,,Snugg Energy,Opportunity Abandoned,Phil Kohler,,18/4/2022,,,,,,,,,,,,,,UK,
"XD team support and capability build
",Strategic Design,TfNSW,Opportunity Abandoned,Kate Walker,,12/9/2022,Tobias,,,,,,,,,,,,,AUS,
"Contracting experience design & UX think tank

",Strategic Design,TfNSW,Opportunity Abandoned,Kate Walker,,17/10/2022,Snowmelt,,,,,,,,,,,,,AUS,
NFT Expert,,The Times,Opportunity Abandoned,Phil Kohler,,23/5/2022,,,,,,,,,,,,,,UK,
Pre-retirement App,UX/UI Design,Aviva,Brief Abandoned,Paul Bowman,,3/10/2022,"Apadmi,Shoreditch Design Studio,xDesign",,,,,,,,,,,,,UK,
Choose Your Adventure,Spatial & Event Design,Aviva,Brief Abandoned,Paul Bowman,,28/4/2023,Innovate Live,,,,,,,,,,,,,,
Connected Car prop dev sprint,Proposition Design,AXA,Brief Abandoned,Peter Sayburn,,17/4/2023,"CreateFuture,HACKMASTERS,Loomery",,,,,,,,,,,,,,
"Onboarding and servicing portal
",Software Development,Cuscal,Brief Abandoned,Robin Scarborough,,,,,,,,,,,,,,,,,
"CDR consent journeys
",,Cuscal,Brief Abandoned,Robin Scarborough,,,,,,,,,,,,,,,,,
FIFA website,UX/UI Design,Gala Games,Brief Abandoned,Gideon Hyde,,31/10/2022,,,,,,,,,,,,,,UK,
Research platform,Research & Insight,JLR,Brief Abandoned,Hannah Fraser,,5/9/2022,,,,,,,,,,,,,,UK,
JLR Electrification Brief add on - visualisation,Visualisation,JLR,Brief Abandoned,Hannah Fraser,,20/2/2023,HeyBigMan!,,,,,,,,,,,,,,
New dairy food brand ,Brand Strategy,Kerry,Brief Abandoned,Peter Sayburn,,13/3/2023,,,,,,,,,,,,,,UK,
Ford Everest Campaign Microsite,UX/UI Design,News Corp (Aus),Brief Abandoned,Kate Walker,,,Helium,,,,,,,,,,,,,AUS,
Premium meal planning app,Proposition Design,News Corp (Aus),Brief Abandoned,Robin Scarborough,,30/9/2022,"How To Impact,IE,Tobias",,,,,,,,,,,,,AUS,
Video Content,Creative & Production,Oxford Properties,Brief Abandoned,Paul Bowman,,28/4/2023,Shoreditch Design Studio,,,,,,,,,,,,,,
UX Improvement,UX/UI Design,Portevo,Brief Abandoned,Phil Kohler,,,"Dark Blue,Bridge Studio,Solution17",,,,,,,,,,,,,,
"CDR bootcamp
",Training,TAL,Brief Abandoned,Robin Scarborough,,1/2/2023,Quill Peak Consulting,,,,,,,,,,,,,,
Climate Prop,Proposition Design,Tesco Bank,Brief Abandoned,Peter Sayburn,,,Good Innovation,Good Innovation,,,,,,,,,,,,UK,
JLR Panthera OneApp Design Project Extension - Luxury CRM Service Design,Strategic Design,JLR,3. Started,Hannah Fraser,Low (1-5 hours),2/5/2023,Nimbletank,Nimbletank,,,,,,,,,,,,UK,
Drive Footfall and Participation at Events,Spatial & Event Design,Momentum GB,1. Matching,George Patten,,29/5/2023,"Dupree International,Heur,Innovate Live",,,,,,,,,,,,,,
MR-Lovisa Instagram Filters,Software Development,News Corp (Aus),1. Matching,Kate Walker,,29/5/2023,"Five by Five Global,SLIK",,,,,,,,,,,,,,
Aviva Masterclass - TikTok,Social & Content,Aviva,2. Contracting,Paul Bowman,Low (1-5 hours),17/4/2023,Buddy Media,Buddy Media,,,,,,,,,,,18/5/2023,UK,
Buddy Media Aviva,Social & Content,Aviva,2. Contracting,Paul Bowman,,15/5/2023,Buddy Media,Buddy Media,,,,,,,,,,,,UK,
