Brief,Category,Clients,Status,Level of effort,Shortlisted Agencies,Winning Agency,Pitch Feedback Form,Quality: How would you rate the quality of delivery against your brief?,Value: How would you rate the agency in terms of value for money?,Chemistry: How would you rate the quality of the team and service you received?,Overall: How likely would you be to recommend this agency to your network and colleagues?,Would you like to share any other project feedback to the agency?,Studiospace: How would you rate your overall experience of working with Studiospace?,Overall: How likely would be to recommend  Studiospace to your network and colleagues?,Would you like to share any feedback to Studiospace?,Client Feedback
Escape Travel eDM Build,CRM & Loyalty,News Corp (Aus),4. Finished,Medium (5-10 hours),Apparent,Apparent,,,,,,,,,,
Senior UI Designer,UX/UI Design,Aegon,5. Archived,High (10+ hours),Hedgehog Lab,Hedgehog Lab,,,,,,,,,,
EV Location Partner Campaign,Social & Content,Allego ,5. Archived,Medium (5-10 hours),"GH05T Ltd.,Buddy Media,bbp",GH05T Ltd.,"Christine Strik,Christine Strik,Christine Strik",9,8,9,9,Team have been a pleasure to work with. Brief has been met. Good quality of work overall. ,9,9,"Always a very professional service, clear proposition, clear direction, supporting our needs. ",Daniel Belbeck
Brand Refresh - case for change (Consulting),Brand Strategy,Auspaynet,5. Archived,High (10+ hours),,,,,,,,,,,,
MoneyCoach Ph1,UX/UI Design,Aviva,5. Archived,Medium (5-10 hours),"Neu,off brand.",Neu,,,,,,,,,,
Zero micro-site,UX/UI Design,Aviva,5. Archived,Medium (5-10 hours),"Rip + Tear,I-AM,Rufus Leonard",I-AM,,,,,,,,,,
MoCo marketing,Social & Content,Aviva,5. Archived,Medium (5-10 hours),"Buddy Media,Heur,Three Whiskey",Buddy Media,,,,,,,,,,
Sustainable Home Insurance,Proposition Design,Aviva,5. Archived,Medium (5-10 hours),"Good Innovation,Nile HQ,Sparksfly",Good Innovation,,10,10,10,10,"I was really impressed with Good Innovation.  They are extremely friendly, enthusiastic and worked hard to really understand what we wanted and to deliver against it.",10,10,,"Simon Burckitt,Lorna Whalley"
MOCO Board Comms,Creative & Production,Aviva,5. Archived,Low (1-5 hours),Buddy Media,Buddy Media,,,,,,,,,,
DW Overarching Vision,Proposition Design,Aviva,5. Archived,Low (1-5 hours),Studiospace,Studiospace,,,,,,,,,,
Home sustainability (smoke test),Research & Insight,Aviva,5. Archived,Medium (5-10 hours),Good Innovation,Good Innovation,,10,10,10,10,"Good Innovation were really engaged, showed a lot of passion and knowledge",10,10,,Simon Burckitt
MOCO marketing Jul-Oct extension,Social & Content,Aviva,5. Archived,Low (1-5 hours),Buddy Media,Buddy Media,,9,10,10,10,"BuddyMedia have been great to work with - they have provided us with excellent value creative, management and analysis not to mention taking us by the hand and getting Aviva onto TikTok, using influencers and UGC!  It's been a really solid partnership where Buddy have challenged us on things, and we have listened to their expertise. I think the only area where things got sticky was around sign off and tbh no matter what you say in advance, until you have been there, it's very challenging to appreciate just how hard & slow it is getting things stamped off in Aviva and credit Buddy, they dealt with it all the extra asks with great grace! Its been a blast and I have been singing their praises to everyone that will listen!",10,10,"Been more than happy with Studiospace - love the business model and the results it delivers, thank you ",Kate Robinson
Life QtB journey optimisation,Strategic Design,Aviva,5. Archived,Medium (5-10 hours),"G-W,NMD+,Shoreditch Design Studio",Shoreditch Design Studio,"Ed & Helen,Ed and Helen,Ed and Helen",10,10,10,10,"Friendly collaboration service from a great team who produced high quality designs which met the brief well. Great work, and would definitely recommend.

One lesson I learned from the project was that Aviva tends to want to use Aviva approved UX research firms, when dealing with users / customers. We didn't understand this at the outset of the project, which introduced unexpected cost and delays (as we had to change from Shoreditch's original agency). The knock-on impact of the delay was that the project tripped over the intended end date, and into holiday season (and likely into other commitments Shoreditch had). It's meant the project has taken a while to reach concrete conclusion. This is a learning Aviva colleagues should take on board, so that we can better prepare for UX research, and in turn help both Aviva and our partners to better estimate costs and end dates.",10,10,,Ed Leigh
